"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(72192);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"											
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"way"	138200489	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'layer': '-1', 'name': 'Терешка', 'tunnel': 'culvert', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	261151589	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'admin_level': '8', 'alt_name': 'Большая Терешка', 'boundary': 'administrative', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	261151591	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	261154401	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'admin_level': '6', 'alt_name': 'Большая Терешка', 'boundary': 'administrative', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	256971847	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	286065162	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	286065163	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	259191441	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	259191434	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	259191437	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	261151584	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'admin_level': '6', 'alt_name': 'Большая Терешка', 'boundary': 'administrative', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	261151585	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	288424581	"Димитровградский цех УКВ радиостанций"				"Radiotelevisió de Rússia"		"unitary enterprise"	"Q4398001"	"official_name=Димитровградский цех УКВ радиостанций Филиала РТРС «Ульяновский ОРТПЦ»"	"{'addr:city': 'Димитровград', 'barrier': 'wall', 'name': 'Димитровградский цех УКВ радиостанций', 'office': 'telecommunication', 'official_name': 'Димитровградский цех УКВ радиостанций Филиала РТРС «Ульяновский ОРТПЦ»', 'phone': '+78423538190', 'website': 'http://ulyanovsk.rtrn.ru', 'wikidata': 'Q4398001', 'wikipedia': 'ru:Российская телевизионная и радиовещательная сеть'}"
"relation"	2628643	"E 30 Russia middle (east)"				"E30"	"E30"	"road"	"Q160249"	"name:en=E 30 Russia middle (east), name:nl=E30 Rusland midden (oost), name:ru=Европейский маршрут E 30"	"{'name': 'E 30 Russia middle (east)', 'name:en': 'E 30 Russia middle (east)', 'name:nl': 'E30 Rusland midden (oost)', 'name:ru': 'Европейский маршрут E 30', 'network': 'e-road', 'ref': 'E 30', 'route': 'road', 'section': 'Russia middle (east)', 'type': 'route', 'wikidata': 'Q160249', 'wikipedia': 'en:European route E30'}"
"relation"	3444483	"Терешка"				"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"		"{'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"relation"	3544710	"Инзенское городское поселение"				"assentament urbà d'Inza"		"urban settlement in Russia"	"Q4201053"		"{'admin_level': '8', 'boundary': 'administrative', 'name': 'Инзенское городское поселение', 'type': 'boundary', 'wikidata': 'Q4201053', 'wikipedia': 'ru:Инзенское городское поселение'}"
