"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(77687);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"											
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"way"	505334734	"Заповедник Аркаим"				"Arkaïm, Arkaim"	"Arkaïm"	"archaeological site"	"Q672602"	"official_name=Челябинский государственный историко-культурный заповедник «Аркаим»"	"{'boundary': 'protected_area', 'leisure': 'nature_reserve', 'name': 'Заповедник Аркаим', 'official_name': 'Челябинский государственный историко-культурный заповедник «Аркаим»', 'protect_class': '22', 'protection_title': 'Объект культурного наследия', 'website': 'https://arkaim-center.ru/', 'wikidata': 'Q672602', 'wikipedia': 'ru:Аркаим'}"
"way"	117366018	"улица Гоголя"				"Nikolai Gógol, Nikolai Gogol, Mykola Hóhol, Nikolaj Vasilevitx Gogol, Gógol, Gògol, Nikolai Gògol"	"Nikolai Gógol"	"human"	"Q43718"	"int_name=ulitsa Gogolya, name:en=Gogolya street"	"{'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'hgv': 'destination', 'highway': 'tertiary', 'int_name': 'ulitsa Gogolya', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'lit': 'yes', 'maxspeed': '60', 'name': 'улица Гоголя', 'name:en': 'Gogolya street', 'priority_road': 'designated', 'sidewalk': 'separate', 'sorting_name': 'Гоголя улица', 'surface': 'asphalt', 'wikidata': 'Q43718', 'wikipedia': 'ru:Гоголь, Николай Васильевич'}"
"way"	181861916	"улица Гоголя"				"Nikolai Gógol, Nikolai Gogol, Mykola Hóhol, Nikolaj Vasilevitx Gogol, Gógol, Gògol, Nikolai Gògol"	"Nikolai Gógol"	"human"	"Q43718"	"int_name=ulitsa Gogolya, name:en=Gogolya street"	"{'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'residential', 'int_name': 'ulitsa Gogolya', 'name': 'улица Гоголя', 'name:en': 'Gogolya street', 'sorting_name': 'Гоголя улица', 'surface': 'asphalt', 'wikidata': 'Q43718', 'wikipedia': 'ru:Гоголь, Николай Васильевич'}"
"way"	108854872	"улица Валерия Чкалова"				"Valeri Txkàlov"	"Valeri Txkàlov"	"human"	"Q498098"	"int_name=ulitsa Chkalova, name:en=Chkalova street, name:ru=улица Валерия Чкалова"	"{'highway': 'residential', 'int_name': 'ulitsa Chkalova', 'name': 'улица Валерия Чкалова', 'name:en': 'Chkalova street', 'name:ru': 'улица Валерия Чкалова', 'sorting_name': 'Чкалова Валерия улица', 'surface': 'ground', 'wikidata': 'Q498098', 'wikipedia': 'ru:Чкалов, Валерий Павлович'}"
"way"	753407486	"улица Гоголя"				"Nikolai Gógol, Nikolai Gogol, Mykola Hóhol, Nikolaj Vasilevitx Gogol, Gógol, Gògol, Nikolai Gògol"	"Nikolai Gógol"	"human"	"Q43718"	"int_name=ulitsa Gogolya, name:en=Gogolya street"	"{'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'hgv': 'destination', 'highway': 'tertiary', 'int_name': 'ulitsa Gogolya', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'lit': 'yes', 'maxspeed': '20', 'name': 'улица Гоголя', 'name:en': 'Gogolya street', 'priority_road': 'designated', 'sidewalk': 'separate', 'sorting_name': 'Гоголя улица', 'surface': 'asphalt', 'wikidata': 'Q43718', 'wikipedia': 'ru:Гоголь, Николай Васильевич'}"
"way"	109065158	"улица Черняховского"				"Ivan Txerniakhovski"	"Ivan Txerniakhovski"	"human"	"Q444979"	"int_name=ulitsa Chernyakhovskogo, name:en=Chernyakhovskogo street, name:ru=улица Черняховского"	"{'highway': 'residential', 'int_name': 'ulitsa Chernyakhovskogo', 'name': 'улица Черняховского', 'name:en': 'Chernyakhovskogo street', 'name:ru': 'улица Черняховского', 'sorting_name': 'Черняховского улица', 'surface': 'ground', 'wikidata': 'Q444979', 'wikipedia': 'ru:Черняховский, Иван Данилович'}"
"way"	108854857	"переулок Чкалова"				"Valeri Txkàlov"	"Valeri Txkàlov"	"human"	"Q498098"	"int_name=pereulok Chkalova, name:ru=переулок Чкалова"	"{'highway': 'residential', 'int_name': 'pereulok Chkalova', 'name': 'переулок Чкалова', 'name:ru': 'переулок Чкалова', 'sorting_name': 'Чкалова переулок', 'surface': 'ground', 'wikidata': 'Q498098', 'wikipedia': 'ru:Чкалов, Валерий Павлович'}"
"way"	716816060	"Завод строительных смесей Ceresit"				"Henkel"	"Henkel"	"public company"	"Q276507"		"{'addr:housenumber': '9Д', 'addr:street': 'переулок Щорса', 'barrier': 'wall', 'contact:phone': '+7 35152 46938', 'landuse': 'industrial', 'name': 'Завод строительных смесей Ceresit', 'website': 'https://www.henkel.ru/', 'wikidata': 'Q276507', 'wikipedia': 'ru:Henkel'}"
"way"	368769468	"Челябинский трубопрокатный завод"				"Planta de Laminació de Canonades de Txeliàbinsk"		"enterprise"	"Q4508717"	"short_name=ЧТПЗ"	"{'contact:email': 'info@chelpipe.ru', 'contact:phone': '+7 351 2557333', 'contact:website': 'https://chelpipe.ru', 'landuse': 'industrial', 'name': 'Челябинский трубопрокатный завод', 'short_name': 'ЧТПЗ', 'start_date': '1942-10-20', 'wikidata': 'Q4508717', 'wikipedia': 'ru:Челябинский трубопрокатный завод'}"
"way"	511392800	"Отряд специального назначения Росгвардии (ОМОН Росгвардии)"				"Guàrdia Nacional de Rússia"		"gendarmerie"	"Q23764150"		"{'access': 'no', 'amenity': 'police', 'barrier': 'wall', 'contact:website': 'https://rosgvard.ru', 'landuse': 'military', 'name': 'Отряд специального назначения Росгвардии (ОМОН Росгвардии)', 'wikidata': 'Q23764150', 'wikipedia': 'ru:Росгвардия'}"
"way"	505480216	"Тренировочный полигон ОМОН Росгвардии"				"Guàrdia Nacional de Rússia"		"gendarmerie"	"Q23764150"		"{'access': 'no', 'barrier': 'fence', 'contact:website': 'https://rosgvard.ru', 'fixme': 'Обнесен колючей проволокой, внутри 1-2-3 этажные строения и дорожки со светофорами. Доступ закрыт, есть охрана.', 'landuse': 'military', 'military': 'training_area', 'name': 'Тренировочный полигон ОМОН Росгвардии', 'note': 'Доступ к полигону ограничен, полигон обнесен колючей проволокой, но просматривается через забор. 1-3 этажные строения и дорожки со светофорами имитирующие улицу города. Есть охрана.', 'wikidata': 'Q23764150', 'wikipedia': 'ru:Росгвардия'}"
"relation"	2832326	"Asian Highway AH7"				"AH7"		"road"	"Q609635"	"name:de=Asiatische Fernstraße AH7, name:en=Asian Highway AH7, name:ru=Азиатский Маршрут AH7"	"{'distance': '5868 km', 'int_ref': 'AH7', 'name': 'Asian Highway AH7', 'name:de': 'Asiatische Fernstraße AH7', 'name:en': 'Asian Highway AH7', 'name:ru': 'Азиатский Маршрут AH7', 'network': 'AsianHighway', 'ref': 'AH7', 'route': 'road', 'type': 'route', 'wikidata': 'Q609635', 'wikipedia': 'en:AH7'}"
"relation"	7215270	"European route E 123"				"E123"	"E123"	"road"	"Q1821054"	"name:de=Europastraße 123, name:en=European route E 123, name:fr=Route européenne E 123, name:nl=Europese route E123, name:pl=Trasa europejska E 123, name:ru=Европейский маршрут E 123, name:sk=Európska cesta E 123"	"{'description': 'Chelyabinsk - Kostanay - Zapadnoe (Toksan bi) - Buzuluk - Derzhavinsk - Arkalyk - Zhezkazgan - Kyzylorda - Shymkent - Tashkent - Aini - Dushanbe - Nizhny Pyanj', 'description:fr': 'E 123 Tcheliabinsk - Nizhny Panj', 'name': 'European route E 123', 'name:de': 'Europastraße 123', 'name:en': 'European route E 123', 'name:fr': 'Route européenne E 123', 'name:nl': 'Europese route E123', 'name:pl': 'Trasa europejska E 123', 'name:ru': 'Европейский маршрут E 123', 'name:sk': 'Európska cesta E 123', 'network': 'e-road', 'note': 'This route cannot be continuous due to missing road \""Toskan-bi (Zapadnoe)-Buzuluk that never were built, and partially unpaved (dirt) roads Dzerzhinsk-Arkalyk-Zhezkazgan', 'ref': 'E 123', 'route': 'road', 'type': 'route', 'wikidata': 'Q1821054', 'wikipedia': 'en:European route E123'}"
"relation"	2628642	"E 30 Russia east"				"E30"	"E30"	"road"	"Q160249"	"name:en=E 30 Russia east, name:nl=E30 Rusland oost, name:ru=Европейский маршрут E 30"	"{'name': 'E 30 Russia east', 'name:en': 'E 30 Russia east', 'name:nl': 'E30 Rusland oost', 'name:ru': 'Европейский маршрут E 30', 'network': 'e-road', 'ref': 'E 30', 'route': 'road', 'section': 'Russia east', 'type': 'route', 'wikidata': 'Q160249', 'wikipedia': 'en:European route E30'}"
"relation"	398398	"Каслинский район"				"Raion de Kaslí"		"second-level administrative country subdivision"	"Q1652753"	"name:en=Kaslinsky District, name:ja=カスリー地区"	"{'addr:country': 'RU', 'addr:region': 'Челябинская область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Каслинский район', 'name:en': 'Kaslinsky District', 'name:ja': 'カスリー地区', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q1652753', 'wikipedia': 'ru:Каслинский район'}"
"relation"	398417	"Ашинский район"				"Raion d'Aixà"		"administrative territorial entity"	"Q1192829"	"name:en=Ashinsky District, name:ja=アシャ地区"	"{'addr:region': 'Челябинская область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Ашинский район', 'name:en': 'Ashinsky District', 'name:ja': 'アシャ地区', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'website': 'http://аша-район.рф', 'wikidata': 'Q1192829', 'wikipedia': 'ru:Ашинский район'}"
